Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USDT
8/17/2017,BTCUSDT,4469.93,4485.39,4200.74,4285.08,647.86,2812379.11
8/18/2017,BTCUSDT,4285.08,4371.52,3938.77,4108.37,1178.07,4994493.56
8/19/2017,BTCUSDT,4108.37,4184.69,3850,4139.98,371.15,1508239.39
8/20/2017,BTCUSDT,4139.98,4211.08,4032.62,4086.29,463.54,1915636.35
8/21/2017,BTCUSDT,4086.29,4119.62,3911.79,4016,685.12,2770592.06
8/22/2017,BTCUSDT,4016,4104.82,3400,4040,939.91,3648726.5
8/23/2017,BTCUSDT,4040,4265.8,4013.89,4114.01,980.5,4062506.52
8/24/2017,BTCUSDT,4114.01,4371.68,4085.01,4316.01,770.46,3225405.8
8/25/2017,BTCUSDT,4316.01,4453.91,4247.48,4280.68,563.36,2440323.79
8/26/2017,BTCUSDT,4280.68,4367,4212.41,4337.44,225.76,967753.32
8/27/2017,BTCUSDT,4337.44,4400,4285.54,4310.01,347.47,1507589.96
8/28/2017,BTCUSDT,4310.01,4399.82,4124.54,4386.69,593.15,2546618.75
8/29/2017,BTCUSDT,4386.69,4625.85,4313.55,4587.48,594.12,2640584.83
8/30/2017,BTCUSDT,4587.48,4647.51,4416.01,4555.14,790.13,3600737.68
8/31/2017,BTCUSDT,4555.14,4745.42,4555.14,4724.89,550.18,2548384.43
9/1/2017,BTCUSDT,4724.89,4885.55,4654.88,4834.91,554.18,2634056.29
9/2/2017,BTCUSDT,4834.91,4939.19,4286.87,4472.14,888.18,4072965.36
9/3/2017,BTCUSDT,4472.14,4714.76,4298.33,4509.08,666.62,3011023.5
9/4/2017,BTCUSDT,4509.08,4527.49,3972.51,4100.11,1309.91,5550545.61
9/5/2017,BTCUSDT,4100.11,4484.99,3603,4366.47,1175.2,4863148.22
9/6/2017,BTCUSDT,4366.47,4662.87,4335.26,4619.77,779.5,3500735.96
9/7/2017,BTCUSDT,4619.77,4788.59,4438.19,4691.61,481.83,2219664.92
9/8/2017,BTCUSDT,4691.61,4735.39,4028.93,4282.8,1108.34,4764005.93
9/9/2017,BTCUSDT,4282.8,4426.62,4150.06,4258.81,658.59,2814560.35
9/10/2017,BTCUSDT,4258.81,4283,3801,4130.37,648.94,2653218.2
9/11/2017,BTCUSDT,4130.37,4334.43,4098.91,4208.47,685.57,2895733.88
9/12/2017,BTCUSDT,4208.47,4394.59,4040.8,4163.72,873.9,3700789.23
9/13/2017,BTCUSDT,4163.72,4165.38,3760,3944.69,901.25,3522155.98
9/14/2017,BTCUSDT,3944.69,3993,3165.13,3189.02,1642.54,5831847.65
9/15/2017,BTCUSDT,3189.02,3856,2817,3700,1949.32,6525220.95
9/16/2017,BTCUSDT,3700,3950,3470.66,3714.95,1280.1,4739326.89
9/17/2017,BTCUSDT,3714.95,3748.21,3499.02,3699.99,676.16,2445321.19
9/18/2017,BTCUSDT,3699.99,4123.2,3690,4035.01,1027.67,4059703.98
9/19/2017,BTCUSDT,4035.01,4089.97,3830.91,3910.04,898.81,3544361.84
9/20/2017,BTCUSDT,3910.04,4046.08,3820,3900,719.59,2834260.05
9/21/2017,BTCUSDT,3900,3910,3567,3609.99,971.06,3642671.89
9/22/2017,BTCUSDT,3609.99,3750,3505.55,3595.87,833.3,3011224.81
9/23/2017,BTCUSDT,3595.87,3817.19,3542.91,3780,747.79,2781158.57
9/24/2017,BTCUSDT,3780,3789.99,3622.76,3660.02,659.82,2439045.2
9/25/2017,BTCUSDT,3660.02,3979.87,3653.69,3920.75,720.64,2755957.53
9/26/2017,BTCUSDT,3920.75,3976.99,3850.05,3882.35,523.31,2047857.28
9/27/2017,BTCUSDT,3882.35,4249.94,3872.81,4193,625.3,2542872.29
9/28/2017,BTCUSDT,4193,4300,4101,4174.5,839.55,3510052.09
9/29/2017,BTCUSDT,4174.5,4263.86,3952.01,4174.69,1561.22,6403068.39
9/30/2017,BTCUSDT,4174.69,4380,4138.1,4378.51,705.52,3025265.75
10/1/2017,BTCUSDT,4378.51,4406.52,4240.04,4378.48,724.9,3128231.71
10/2/2017,BTCUSDT,4378.48,4561.63,4360,4380,634.55,2811131.03
10/3/2017,BTCUSDT,4380,4467.33,4180.8,4310,1070.97,4579122.09
10/4/2017,BTCUSDT,4310,4373,4142,4208.59,859.82,3639917
10/5/2017,BTCUSDT,4208.59,4355,4110,4292.43,760.44,3216620.42
10/6/2017,BTCUSDT,4292.43,4417,4292,4369,502.17,2193131.64
10/7/2017,BTCUSDT,4369,4479.5,4312.56,4423,288.14,1261367.6
10/8/2017,BTCUSDT,4423,4658,4423,4640,504.13,2282412.29
10/9/2017,BTCUSDT,4640,4889.98,4550,4786.95,639.27,3006465.77
10/10/2017,BTCUSDT,4786.95,4960,4680.59,4783.06,1036.4,5011470.95
